Model Index,dim_hid,alpha,eps,normalize,hidden_activation,output_activation,lr_schedule,weight_init,sparsity,weight_scale,early_stopping,Train CE,Train RE,Val CE,Val RE,Duration
1,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.030625,0.0410952522254073,0.029375,68.35875241008704,44.44877219200134
2,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.03671875,0.044940739280747,0.03375,73.61073996755705,33.726887226104736
3,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",normal_dist,,1.0,{'stop-early': False},0.03171875,0.041302516331940396,0.034375,68.49788859326736,205.8435082435608
4,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02171875,0.031225484148772943,0.023125,53.12785333436455,33.5449595451355
5,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02796875,0.037384667821706824,0.025625,61.52782793613753,25.872232675552368
6,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",normal_dist,,2.0,{'stop-early': False},0.0228125,0.031502515110235475,0.02375,53.20575010104081,205.27117109298706
13,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.03796875,0.04891874508795941,0.035625,80.6870063907227,33.39337468147278
14,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.04046875,0.04904256466857279,0.039375,80.10501716101125,31.07217574119568
15,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",uniform,,1.0,{'stop-early': False},0.03765625,0.04575270800492531,0.038125,75.3127790878148,205.57083749771118
16,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.0315625,0.04150829089416007,0.030625,68.76128325578077,36.17681694030762
17,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.03484375,0.041781260341366276,0.02875,69.07475665286181,28.571581602096558
18,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",uniform,,2.0,{'stop-early': False},0.03203125,0.03953605525869033,0.036875,65.85853176183916,203.56207466125488
25,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.061875,0.0621513897140372,0.06,101.71955096534977,52.18992352485657
26,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0821875,0.0808493849675627,0.075,134.48158784606105,30.19723868370056
27,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.1,1.0,{'stop-early': False},0.0609375,0.06252946335903237,0.063125,103.2291720604078,204.59204268455505
28,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.069375,0.0684308435809913,0.07125,114.15642914051465,46.747716188430786
29,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.04671875,0.056339922764387367,0.038125,96.41134866306409,30.62251615524292
30,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.1,2.0,{'stop-early': False},0.0846875,0.07436983828163073,0.09125,121.84356532517444,205.70608162879944
31,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.050625,0.05824885624123621,0.04625,97.10891948526466,45.4538996219635
32,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.05703125,0.06428509304303055,0.055625,106.22482753051914,37.94114589691162
33,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.2,1.0,{'stop-early': False},0.04734375,0.05652837153535315,0.0475,92.36341052339397,207.96159601211548
34,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.0425,0.05155364274456492,0.0425,87.9328503877449,40.1894965171814
35,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0415625,0.05257145725297213,0.04125,87.95855902205811,38.195841550827026
36,50,0.01,200,True,sigmoid,softmax,"{'decay': 'exponential_decay', 'params': {'decay_rate': 0.01}}",sparse,0.2,2.0,{'stop-early': False},0.0384375,0.0505469335970652,0.039375,84.44547454333204,202.75713658332825
37,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02875,0.03269595448815964,0.020625,52.72313465263253,38.6461980342865
38,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0225,0.02622440640203838,0.018125,42.99993775999695,58.25162100791931
39,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",normal_dist,,1.0,{'stop-early': False},0.0115625,0.01755488266042314,0.015,31.125492484343965,204.4769241809845
40,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02046875,0.02761911028972498,0.01375,45.51292539084701,39.246309995651245
41,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0159375,0.021839914909502038,0.01125,35.55048835768683,54.463948488235474
42,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",normal_dist,,2.0,{'stop-early': False},0.01015625,0.01581959606149405,0.01375,29.003520908251375,203.0123405456543
49,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02546875,0.027812129426422295,0.01875,46.551699594164624,65.07099962234497
50,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0265625,0.031050807621882708,0.018125,50.97539392809244,48.330923557281494
51,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",uniform,,1.0,{'stop-early': False},0.01390625,0.018774498589837162,0.016875,33.27166994961788,201.7138271331787
52,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.0215625,0.025192709408748362,0.01875,42.368740213812345,56.06515693664551
53,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02171875,0.027909605791110095,0.01625,45.62605310065922,45.30903124809265
54,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",uniform,,2.0,{'stop-early': False},0.01265625,0.01768210344130436,0.0175,31.583576296942656,202.3954930305481
61,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02609375,0.03237898474819358,0.021875,54.74435182529007,65.64168620109558
62,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02953125,0.033802225851619114,0.026875,59.602753807641164,69.35996747016907
63,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.1,1.0,{'stop-early': False},0.01703125,0.022159571782346746,0.01875,38.70629161443082,219.83435583114624
64,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.026875,0.036950868931474486,0.021875,60.676689371405224,57.91712045669556
65,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.04359375,0.046507203955101765,0.03625,74.78829437483886,34.57978367805481
66,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.1,2.0,{'stop-early': False},0.01984375,0.023112501021477508,0.020625,39.94069811999087,203.86059832572937
67,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.0328125,0.03821039555551029,0.02625,62.57007285596575,39.93019676208496
68,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02875,0.03379035594338574,0.0275,55.319820066721185,54.5800404548645
69,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,1.0,{'stop-early': False},0.01703125,0.022004184329759306,0.0225,39.872007942341575,205.5371856689453
70,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02921875,0.035420784804864734,0.021875,57.863553303494086,39.046560525894165
71,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0275,0.03263648908138635,0.025,56.37971786705398,40.13605833053589
72,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,2.0,{'stop-early': False},0.01296875,0.018427203431256412,0.018125,34.223439045143785,205.7526512145996
73,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02390625,0.02801079907694177,0.019375,46.319333569317166,45.87211275100708
74,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02859375,0.032568160513323764,0.021875,52.69572737727384,39.47621440887451
75,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,1.0,{'stop-early': False},0.00953125,0.011826145503255576,0.01625,23.91119818939164,203.55287170410156
76,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02625,0.02917564770117532,0.02,48.655754831311015,35.32859969139099
77,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0190625,0.022905967597453936,0.016875,39.43533622380374,47.29623866081238
78,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,2.0,{'stop-early': False},0.0096875,0.011289044149432628,0.009375,21.731084433920746,202.79549908638
85,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02109375,0.024691593018143852,0.018125,40.72383685712667,62.266950607299805
86,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0225,0.024267109911316663,0.02,46.0942056869328,56.568360567092896
87,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,1.0,{'stop-early': False},0.01078125,0.012238013464511975,0.011875,21.781007734615454,206.75484776496887
88,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02828125,0.031783022932311555,0.024375,51.754623916292225,35.96840286254883
89,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0203125,0.02241770725677179,0.0175,37.30998751599494,67.71110343933105
90,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,2.0,{'stop-early': False},0.009375,0.01142868573453725,0.0125,21.92278358143599,204.82918763160706
97,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02453125,0.03152406545212964,0.02,51.08235900665611,50.41228199005127
98,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.025625,0.027211161378015006,0.024375,46.86108352332959,78.21815824508667
99,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,1.0,{'stop-early': False},0.01828125,0.01879281709552617,0.01875,34.07265560454217,207.68190598487854
100,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02453125,0.030216336812668425,0.019375,49.145980239626205,53.75673842430115
101,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0278125,0.031828077790702534,0.024375,53.13840652574803,62.22136211395264
102,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,2.0,{'stop-early': False},0.01359375,0.014357234434613033,0.0175,27.858415754956795,204.36331033706665
103,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.01765625,0.020263602106168878,0.01625,33.87260108597393,106.18536067008972
104,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.03375,0.040573745145545057,0.028125,65.91040225976694,35.52041959762573
105,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,1.0,{'stop-early': False},0.01140625,0.014622668858771195,0.015625,27.051325146941522,202.08590269088745
106,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.026875,0.036057787294395904,0.02,58.612315900824576,33.593876361846924
107,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02265625,0.02686066905933379,0.024375,48.29502927998084,48.45631122589111
108,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,2.0,{'stop-early': False},0.01234375,0.014076067708570726,0.01875,28.46654735636449,224.61394882202148
